name,x_position,y_position,sample,ratio,rendering_time
calafate,0,0,10,1,0.5267415046691895
calafate,0,1,10,1,0.4386758804321289
calafate,0,2,10,1,0.16879677772521973
calafate,0,3,10,1,0.07310318946838379
calafate,1,0,10,1,0.7860896587371826
calafate,1,1,10,1,0.8740735054016113
calafate,1,2,10,1,0.7147786617279053
calafate,1,3,10,1,0.3844902515411377
calafate,2,0,10,1,1.0740444660186768
calafate,2,1,10,1,1.0000395774841309
calafate,2,2,10,1,0.7537012100219727
calafate,2,3,10,1,0.21010828018188477
calafate,3,0,10,1,0.40677762031555176
calafate,3,1,10,1,0.3008749485015869
calafate,3,2,10,1,0.26251673698425293
calafate,3,3,10,1,0.08273911476135254
calafate,0,0,20,1,1.0547447204589844
calafate,0,1,20,1,0.8909778594970703
calafate,0,2,20,1,0.3426840305328369
calafate,0,3,20,1,0.15871882438659668
calafate,1,0,20,1,1.5878443717956543
calafate,1,1,20,1,1.7516298294067383
calafate,1,2,20,1,1.4367430210113525
calafate,1,3,20,1,0.7675840854644775
calafate,2,0,20,1,2.1603879928588867
calafate,2,1,20,1,2.011301040649414
calafate,2,2,20,1,1.504840612411499
calafate,2,3,20,1,0.41767191886901855
calafate,3,0,20,1,0.8069329261779785
calafate,3,1,20,1,0.5953166484832764
calafate,3,2,20,1,0.5125491619110107
calafate,3,3,20,1,0.15532183647155762
calafate,0,0,30,1,1.588341236114502
calafate,0,1,30,1,1.3433165550231934
calafate,0,2,30,1,0.5276658535003662
calafate,0,3,30,1,0.23614740371704102
calafate,1,0,30,1,2.376922607421875
calafate,1,1,30,1,2.629136085510254
calafate,1,2,30,1,2.1424567699432373
calafate,1,3,30,1,1.1520798206329346
calafate,2,0,30,1,3.2490272521972656
calafate,2,1,30,1,3.011768341064453
calafate,2,2,30,1,2.2585723400115967
calafate,2,3,30,1,0.6212737560272217
calafate,3,0,30,1,1.2164654731750488
calafate,3,1,30,1,0.8946628570556641
calafate,3,2,30,1,0.7616965770721436
calafate,3,3,30,1,0.22675848007202148
calafate,0,0,40,1,2.110095977783203
calafate,0,1,40,1,1.7800288200378418
calafate,0,2,40,1,0.6883392333984375
calafate,0,3,40,1,0.29875612258911133
calafate,1,0,40,1,3.163839817047119
calafate,1,1,40,1,3.492279529571533
calafate,1,2,40,1,2.8597161769866943
calafate,1,3,40,1,1.5537943840026855
calafate,2,0,40,1,4.308487892150879
calafate,2,1,40,1,4.008453369140625
calafate,2,2,40,1,2.9967198371887207
calafate,2,3,40,1,0.8243136405944824
calafate,3,0,40,1,1.6027333736419678
calafate,3,1,40,1,1.176039695739746
calafate,3,2,40,1,0.9968001842498779
calafate,3,3,40,1,0.29775214195251465
calafate,0,0,50,1,2.6546378135681152
calafate,0,1,50,1,2.2124648094177246
calafate,0,2,50,1,0.8715682029724121
calafate,0,3,50,1,0.37548327445983887
calafate,1,0,50,1,3.9700305461883545
calafate,1,1,50,1,4.364262104034424
calafate,1,2,50,1,3.560499668121338
calafate,1,3,50,1,1.9053149223327637
calafate,2,0,50,1,5.368480205535889
calafate,2,1,50,1,5.011759519577026
calafate,2,2,50,1,3.7454466819763184
calafate,2,3,50,1,1.0234754085540771
calafate,3,0,50,1,2.0129475593566895
calafate,3,1,50,1,1.4790513515472412
calafate,3,2,50,1,1.2606854438781738
calafate,3,3,50,1,0.38254308700561523
calafate,0,0,100,1,5.277885675430298
calafate,0,1,100,1,4.4510393142700195
calafate,0,2,100,1,1.737401008605957
calafate,0,3,100,1,0.7578306198120117
calafate,1,0,100,1,7.938091039657593
calafate,1,1,100,1,8.670728921890259
calafate,1,2,100,1,7.144337892532349
calafate,1,3,100,1,3.822610378265381
calafate,2,0,100,1,10.752728939056396
calafate,2,1,100,1,10.017153978347778
calafate,2,2,100,1,7.483051061630249
calafate,2,3,100,1,2.039746046066284
calafate,3,0,100,1,4.038280725479126
calafate,3,1,100,1,2.9772634506225586
calafate,3,2,100,1,2.513641595840454
calafate,3,3,100,1,0.7477302551269531
calafate,0,0,200,1,10.568988561630249
calafate,0,1,200,1,8.899937629699707
calafate,0,2,200,1,3.442579746246338
calafate,0,3,200,1,1.5027141571044922
calafate,1,0,200,1,15.754084825515747
calafate,1,1,200,1,17.435773372650146
calafate,1,2,200,1,14.246007204055786
calafate,1,3,200,1,7.630510568618774
calafate,2,0,200,1,21.378666877746582
calafate,2,1,200,1,19.952642917633057
calafate,2,2,200,1,14.909084796905518
calafate,2,3,200,1,4.060554027557373
calafate,3,0,200,1,8.080705881118774
calafate,3,1,200,1,5.909799575805664
calafate,3,2,200,1,5.015439748764038
calafate,3,3,200,1,1.4938480854034424
calafate,0,0,300,1,15.816125631332397
calafate,0,1,300,1,13.324748992919922
calafate,0,2,300,1,5.19199538230896
calafate,0,3,300,1,2.266239881515503
calafate,1,0,300,1,23.627026081085205
calafate,1,1,300,1,26.112186193466187
calafate,1,2,300,1,21.25498366355896
calafate,1,3,300,1,11.486128091812134
calafate,2,0,300,1,32.18705773353577
calafate,2,1,300,1,29.9181489944458
calafate,2,2,300,1,22.339184045791626
calafate,2,3,300,1,6.119305372238159
calafate,3,0,300,1,12.173115253448486
calafate,3,1,300,1,8.928313732147217
calafate,3,2,300,1,7.553540229797363
calafate,3,3,300,1,2.236163854598999
calafate,0,0,400,1,21.17124366760254
calafate,0,1,400,1,17.860147714614868
calafate,0,2,400,1,6.959138870239258
calafate,0,3,400,1,3.0526082515716553
calafate,1,0,400,1,31.49890661239624
calafate,1,1,400,1,35.02181959152222
calafate,1,2,400,1,28.86500597000122
calafate,1,3,400,1,15.413674354553223
calafate,2,0,400,1,43.246116399765015
calafate,2,1,400,1,40.52933621406555
calafate,2,2,400,1,30.184552907943726
calafate,2,3,400,1,8.259320497512817
calafate,3,0,400,1,16.47963809967041
calafate,3,1,400,1,12.097564458847046
calafate,3,2,400,1,10.216430902481079
calafate,3,3,400,1,3.0254971981048584
calafate,0,0,500,1,26.832505702972412
calafate,0,1,500,1,22.645031452178955
calafate,0,2,500,1,8.791894674301147
calafate,0,3,500,1,3.850538492202759
calafate,1,0,500,1,40.193527698516846
calafate,1,1,500,1,44.280059814453125
calafate,1,2,500,1,36.155662059783936
calafate,1,3,500,1,19.523260831832886
calafate,2,0,500,1,54.41767740249634
calafate,2,1,500,1,50.85240173339844
calafate,2,2,500,1,38.00175189971924
calafate,2,3,500,1,10.33090353012085
calafate,3,0,500,1,20.647143125534058
calafate,3,1,500,1,15.169317722320557
calafate,3,2,500,1,12.803290367126465
calafate,3,3,500,1,3.810758113861084
calafate,0,0,1000,1,53.66932129859924
calafate,0,1,1000,1,45.59205508232117
calafate,0,2,1000,1,17.735405206680298
calafate,0,3,1000,1,7.756545782089233
calafate,1,0,1000,1,80.42851638793945
calafate,1,1,1000,1,88.89049887657166
calafate,1,2,1000,1,72.92766499519348
calafate,1,3,1000,1,38.90011954307556
calafate,2,0,1000,1,109.88807678222656
calafate,2,1,1000,1,102.46296072006226
calafate,2,2,1000,1,76.22081136703491
calafate,2,3,1000,1,20.74651789665222
calafate,3,0,1000,1,41.64650797843933
calafate,3,1,1000,1,30.902745723724365
calafate,3,2,1000,1,25.79525852203369
calafate,3,3,1000,1,7.682346820831299
calafate,0,0,2000,1,108.70342755317688
calafate,0,0,2000,2,27.666112184524536
calafate,0,0,2000,4,7.811264991760254
calafate,0,0,2000,5,7.225179195404053
calafate,0,0,2000,8,3.3369555473327637
calafate,0,1,2000,1,90.56897330284119
calafate,0,1,2000,2,23.602112531661987
calafate,0,1,2000,4,7.176940441131592
calafate,0,1,2000,5,5.33660888671875
calafate,0,1,2000,8,2.6367809772491455
calafate,0,2,2000,1,35.050394773483276
calafate,0,2,2000,2,9.823533058166504
calafate,0,2,2000,4,3.1416664123535156
calafate,0,2,2000,5,2.1028757095336914
calafate,0,2,2000,8,1.0024394989013672
calafate,0,3,2000,1,15.23030400276184
calafate,0,3,2000,2,3.840181350708008
calafate,0,3,2000,4,1.077059030532837
calafate,0,3,2000,5,0.8058369159698486
calafate,0,3,2000,8,0.3979196548461914
calafate,1,0,2000,1,160.25966024398804
calafate,1,0,2000,2,40.90500044822693
calafate,1,0,2000,4,11.372371912002563
calafate,1,0,2000,5,9.091146469116211
calafate,1,0,2000,8,3.5952961444854736
calafate,1,1,2000,1,177.5595347881317
calafate,1,1,2000,2,45.390385389328
calafate,1,1,2000,4,12.737761974334717
calafate,1,1,2000,5,10.760895729064941
calafate,1,1,2000,8,5.321536064147949
calafate,1,2,2000,1,144.58900833129883
calafate,1,2,2000,2,39.22185754776001
calafate,1,2,2000,4,10.874210834503174
calafate,1,2,2000,5,8.5483078956604
calafate,1,2,2000,8,4.269371032714844
calafate,1,3,2000,1,76.68400931358337
calafate,1,3,2000,2,20.039758443832397
calafate,1,3,2000,4,5.429824590682983
calafate,1,3,2000,5,4.0029120445251465
calafate,1,3,2000,8,1.7620837688446045
calafate,2,0,2000,1,218.65093326568604
calafate,2,0,2000,2,56.06369662284851
calafate,2,0,2000,4,14.544020652770996
calafate,2,0,2000,5,11.092803001403809
calafate,2,0,2000,8,5.967357635498047
calafate,2,1,2000,1,205.2101104259491
calafate,2,1,2000,2,52.52140951156616
calafate,2,1,2000,4,14.804725885391235
calafate,2,1,2000,5,10.96418571472168
calafate,2,1,2000,8,6.3118650913238525
calafate,2,2,2000,1,151.34164667129517
calafate,2,2,2000,2,38.73917746543884
calafate,2,2,2000,4,10.618100881576538
calafate,2,2,2000,5,8.246587038040161
calafate,2,2,2000,8,5.518751621246338
calafate,2,3,2000,1,41.00174593925476
calafate,2,3,2000,2,10.39878535270691
calafate,2,3,2000,4,3.739790201187134
calafate,2,3,2000,5,2.9882004261016846
calafate,2,3,2000,8,1.635474681854248
calafate,3,0,2000,1,82.10890054702759
calafate,3,0,2000,2,21.035210371017456
calafate,3,0,2000,4,5.561790704727173
calafate,3,0,2000,5,3.774216890335083
calafate,3,0,2000,8,2.8055808544158936
calafate,3,1,2000,1,60.98525905609131
calafate,3,1,2000,2,16.343871593475342
calafate,3,1,2000,4,5.972715854644775
calafate,3,1,2000,5,4.248959541320801
calafate,3,1,2000,8,1.7601397037506104
calafate,3,2,2000,1,50.57594347000122
calafate,3,2,2000,2,13.575725078582764
calafate,3,2,2000,4,4.960207223892212
calafate,3,2,2000,5,3.2340102195739746
calafate,3,2,2000,8,2.358306884765625
calafate,3,3,2000,1,15.018459558486938
calafate,3,3,2000,2,3.776639223098755
calafate,3,3,2000,4,0.9842133522033691
calafate,3,3,2000,5,0.7840821743011475
calafate,3,3,2000,8,0.39641618728637695
fishy_cat,0,0,10,1,3.732189416885376
fishy_cat,0,1,10,1,3.7352983951568604
fishy_cat,0,2,10,1,2.4572131633758545
fishy_cat,0,3,10,1,2.2455761432647705
fishy_cat,1,0,10,1,4.067960023880005
fishy_cat,1,1,10,1,3.8200650215148926
fishy_cat,1,2,10,1,2.8849775791168213
fishy_cat,1,3,10,1,2.339698553085327
fishy_cat,2,0,10,1,4.27918267250061
fishy_cat,2,1,10,1,6.02579140663147
fishy_cat,2,2,10,1,4.15207576751709
fishy_cat,2,3,10,1,2.3253283500671387
fishy_cat,3,0,10,1,3.9678544998168945
fishy_cat,3,1,10,1,3.3655471801757812
fishy_cat,3,2,10,1,2.6600091457366943
fishy_cat,3,3,10,1,2.3219096660614014
fishy_cat,0,0,20,1,5.763261556625366
fishy_cat,0,1,20,1,5.5898756980896
fishy_cat,0,2,20,1,3.104308843612671
fishy_cat,0,3,20,1,2.7782886028289795
fishy_cat,1,0,20,1,6.132190704345703
fishy_cat,1,1,20,1,5.691511154174805
fishy_cat,1,2,20,1,3.557387590408325
fishy_cat,1,3,20,1,2.8179798126220703
fishy_cat,2,0,20,1,6.665592670440674
fishy_cat,2,1,20,1,9.758916854858398
fishy_cat,2,2,20,1,6.190476655960083
fishy_cat,2,3,20,1,2.9411873817443848
fishy_cat,3,0,20,1,6.314632415771484
fishy_cat,3,1,20,1,5.09406042098999
fishy_cat,3,2,20,1,3.4058938026428223
fishy_cat,3,3,20,1,2.8081839084625244
fishy_cat,0,0,30,1,7.848998785018921
fishy_cat,0,1,30,1,7.362058162689209
fishy_cat,0,2,30,1,3.581993818283081
fishy_cat,0,3,30,1,3.4276716709136963
fishy_cat,1,0,30,1,8.393476009368896
fishy_cat,1,1,30,1,7.55054783821106
fishy_cat,1,2,30,1,4.161819934844971
fishy_cat,1,3,30,1,3.302133321762085
fishy_cat,2,0,30,1,9.100241422653198
fishy_cat,2,1,30,1,13.5194730758667
fishy_cat,2,2,30,1,8.262367963790894
fishy_cat,2,3,30,1,3.169619560241699
fishy_cat,3,0,30,1,8.537328243255615
fishy_cat,3,1,30,1,6.479814291000366
fishy_cat,3,2,30,1,4.075890302658081
fishy_cat,3,3,30,1,3.270634651184082
fishy_cat,0,0,40,1,9.529946565628052
fishy_cat,0,1,40,1,8.974890232086182
fishy_cat,0,2,40,1,3.977907180786133
fishy_cat,0,3,40,1,3.546776056289673
fishy_cat,1,0,40,1,10.494651317596436
fishy_cat,1,1,40,1,9.353546142578125
fishy_cat,1,2,40,1,5.052412033081055
fishy_cat,1,3,40,1,3.627861976623535
fishy_cat,2,0,40,1,11.386953115463257
fishy_cat,2,1,40,1,17.203000783920288
fishy_cat,2,2,40,1,10.286925077438354
fishy_cat,2,3,40,1,3.617384672164917
fishy_cat,3,0,40,1,10.693390607833862
fishy_cat,3,1,40,1,7.8830554485321045
fishy_cat,3,2,40,1,4.686028242111206
fishy_cat,3,3,40,1,3.551419973373413
fishy_cat,0,0,50,1,11.406973838806152
fishy_cat,0,1,50,1,10.647229194641113
fishy_cat,0,2,50,1,4.619286775588989
fishy_cat,0,3,50,1,3.9642271995544434
fishy_cat,1,0,50,1,12.418946027755737
fishy_cat,1,1,50,1,11.203710556030273
fishy_cat,1,2,50,1,5.484470844268799
fishy_cat,1,3,50,1,3.939791440963745
fishy_cat,2,0,50,1,13.663622856140137
fishy_cat,2,1,50,1,21.05017638206482
fishy_cat,2,2,50,1,12.24445366859436
fishy_cat,2,3,50,1,4.129371404647827
fishy_cat,3,0,50,1,12.78248643875122
fishy_cat,3,1,50,1,9.30758786201477
fishy_cat,3,2,50,1,5.33008337020874
fishy_cat,3,3,50,1,3.9425089359283447
fishy_cat,0,0,100,1,20.775583505630493
fishy_cat,0,1,100,1,19.103249073028564
fishy_cat,0,2,100,1,6.792262315750122
